Assay,Taxon,Amp,Genus
CMCP_1,Candidia barbatus,0.097,Candidia
CMCP_3,Laubuca caeruleostigmata,0.097,Laubuca
CMCP_3,Notropis photogenis,0.097,Notropis
CMCP_3,Paracheilognathus himantegus,0.097,Paracheilognathus
CMCP_3,Parachela williaminae,0.097,Parachela
CMCP_5,Tanakia himantegus,0.097,Tanakia
CMCP_5,Tinca tinca,0.097,Tinca
CMCP_1,Barbus lineomaculatus,0.096,Barbus
CMCP_1,Barbus neefi,0.096,Barbus
CMCP_1,Barilius malabaricus,0.096,Barilius
CMCP_3,Laubuca fasciata,0.096,Laubuca
CMCP_3,Laubuca laubuca,0.096,Laubuca
CMCP_3,Metzia formosae,0.096,Metzia
CMCP_1,Biwia zezera,0.095,Biwia
CMCP_1,Boraras brigittae,0.095,Boraras
CMCP_3,Microphysogobio fukiensis,0.095,Microphysogobio
CMCP_5,Systomus tetrazona,0.095,Systomus
CMCP_supplement,Pimephales promelas,0.095,Pimephales
CMCP_1,Clypeobarbus congicus,0.094,Clypeobarbus
CMCP_1,Clypeobarbus pleuropholis,0.094,Clypeobarbus
CMCP_3,Microphysogobio alticorpus,0.094,Microphysogobio
CMCP_5,Osteochilus spilurus,0.094,Osteochilus
CMCP_5,Siphateles alvordensis,0.094,Siphateles
CMCP_5,Siphateles boraxobius,0.094,Siphateles
CMCP_supplement,Microrasbora rubescens,0.094,Microrasbora
CMCP_1,Algansea monticola,0.093,Algansea
CMCP_1,Barbus tiekoroi,0.093,Barbus
CMCP_3,Labiobarbus lineatus,0.092,Labiobarbus
CMCP_3,Microphysogobio tafangensis,0.092,Microphysogobio
CMCP_3,Nematobramis steindachneri,0.092,Nematobramis
CMCP_3,Opsariichthys pachycephalus,0.092,Opsariichthys
CMCP_5,Zacco pachycephalus,0.092,Zacco
CMCP_supplement,Microrasbora erythromicron,0.092,Microrasbora
CMCP_3,Parachela maculicauda,0.091,Parachela
CMCP_1,Acheilognathus rhombeus,0.09,Acheilognathus
CMCP_3,Parachela oxygastroides,0.09,Parachela
CMCP_1,Acheilognathus deignani,0.089,Acheilognathus
CMCP_1,Chrosomus cumberlandensis,0.089,Chrosomus
CMCP_3,Phoxinus cumberlandensis,0.089,Phoxinus
CMCP_1,Barbus aspilus,0.088,Barbus
CMCP_3,Phoxinus neogaeus,0.088,Phoxinus
CMCP_5,Thynnichthys polylepis,0.088,Thynnichthys
CMCP_supplement,Semotilus atromaculatus,0.088,Semotilus
CMCP_1,Agosia chrysogaster,0.087,Agosia
CMCP_3,Laubuca dadiburjori,0.087,Laubuca
CMCP_5,Semotilus atromaculatus,0.087,Semotilus
CMCP_3,Opsariichthys duchuunguyeni,0.086,Opsariichthys
CMCP_3,Notropis percobromus,0.085,Notropis
CMCP_3,Notropis texanus,0.08,Notropis
CMCP_3,Notropis xaenocephalus,0.08,Notropis
CMCP_1,Alburnus orontis,0.078,Alburnus
CMCP_1,Betadevario ramachandrani,0.077,Betadevario
